fold,a_s_m2
2018,236728.558800
2018,493916.672875
2018,403270.657477
2018,297554.719893
2018,458891.601089
2018,186642.207360
2018,-189070.369409
2018,-81249.767374
2018,24933.317875
2018,236315.995958
2018,391384.196299
2018,-499884.714514
2018,1316087.690400
2018,433392.681600
2018,594211.242732
2018,243539.808163
2018,603039.724643
2018,-486422.741189
2018,217044.727200
2018,354365.977484
2018,-2293269.313745
2018,980153.241870
2018,316296.671868
2018,208841.811055
2018,765056.534400
2018,244744.732664
2018,-225023.790478
2018,224479.802810
2018,277574.256517
2018,209987.414126
2018,314266.723017
2018,544564.487228
2018,585550.441800
2018,-663978.026880
2018,-473227.692410
2018,-149068.512760
2018,220976.516571
2018,555804.660884
2018,172085.782881
2018,-1075468.816800
2018,597308.482800
2018,535325.443902
2018,-571843.320130
2018,1696293.381600
2018,580786.927754
2018,226944.133641
2018,-165051.540864
2018,246770.561384
2018,544318.911360
2018,762001.453662
2018,604878.421577
2018,987290.385347
2018,918526.362735
2018,323669.301726
2018,511721.557200
2018,-165019.024800
2018,743181.109284
2018,692592.163200
2018,375316.668720
2018,-306506.687495
2018,171263.587091
2018,394853.937766
2018,340749.475960
2018,399264.128530
2018,329368.601224
2018,226549.727860
2018,1191906.637505
2018,463353.912000
2018,469258.144674
2018,257788.183827
2018,459870.048000
2018,92957.688847
2018,549335.675520
2018,484858.854327
2018,517980.899520
2018,81802.766185
2018,163353.242833
2018,-573932.795319
2018,294366.014682
2018,290055.797058
2018,559862.656052
2018,652822.515692
2018,262949.758729
2018,469289.073080
2018,-257636.626721
2018,1234771.307768
2018,153638.402400
2018,1031105.144374
2018,605965.127478
2018,229140.703008
2018,-788789.687926
2018,207331.241980
2018,412567.458193
2018,552621.850493
2018,553773.582277
2018,303824.256431
2018,411356.934038
2018,466854.170654
2018,768857.113309
2018,398063.133491
2018,459514.249123
2018,78530.769248
2018,255398.902691
2018,-155809.117662
2018,378897.714189
2018,889295.223304
2018,471952.813318
2018,385341.722776
2018,360218.869004
2018,519776.673055
2018,198741.041723
2018,252971.625748
2018,87793.372800
2018,-201677.948761
2018,784796.410769
2018,486761.711741
2018,127227.364649
2018,-231936.392681
2018,64732.440774
2018,-121617.448440
2018,-203925.112770
2018,220953.655946
2018,46939.031002
2018,488071.631837
2018,-683990.186269
2018,381901.171680
2018,208217.910712
2018,2016702.838957
2018,669156.804878
2018,278772.462982
2018,59457.945600
2018,861532.768246
2018,91508.459845
2018,178384.940749
2018,613990.831569
2018,51081.976196
2018,-357082.660523
2018,659234.165400
2018,190398.510950
2018,-42474.335667
2018,371785.848292
2018,350531.100667
2018,233279.533440
2018,296302.633200
2018,1084178.476800
2018,293341.348800
2018,819404.812800
2018,1029181.716784
2018,458615.856960
2018,179547.348884
2018,596994.935040
2018,119984.276160
2018,284324.289035
2018,456308.764800
2018,224855.862276
2018,680398.639200
2018,297664.391720
2018,350432.618856
2018,214545.054780
2018,410515.308000
2018,454149.176589
2018,-228671.110549
2018,725052.165021
2018,250147.494094
2018,404706.035590
2018,644912.065615
2018,337888.967684
2018,391307.604480
2018,518163.259642
2018,246942.210301
2018,348256.767851
2018,944096.849530
2018,451957.768806
2018,-1206728.516329
2018,88472.187538
2018,262938.945672
2018,427148.525354
2018,256551.744960
2018,311546.058590
2018,729692.459174
2018,-509448.867516
2018,453775.384713
2018,381392.224591
2018,243239.285816
2018,142945.619815
2018,754372.684800
2018,804187.294848
2018,-291138.317153
2018,-592174.906729
2018,225580.194000
2018,208388.665108
2018,211585.701811
2018,520841.582454
2018,492563.567245
2018,405584.353983
2018,-520599.298358
2018,221637.870596
2018,-208370.346835
2018,612302.497477
2018,653494.218503
2018,415262.653344
2018,414351.899664
2018,-154576.365785
2018,123432.266709
2018,200566.627916
2018,219710.875971
2018,717143.618265
2018,201089.704794
2018,-257893.032600
2018,342523.897821
2018,345737.369045
2018,1290116.173180
2018,-715853.655138
2018,278012.347200
2018,558340.586728
2018,371865.531927
2018,648573.541560
2018,175434.590708
2018,81953.041133
2018,460477.490954
2018,309978.139348
2018,328954.180800
2018,779301.667200
2018,757905.773545
2018,357768.298546
2018,768665.717249
2018,657313.213160
2018,951617.451600
2018,510769.301040
2018,572150.007771
2018,570366.216668
2018,-594222.512741
2018,450485.852630
2018,169605.688572
2018,652863.445004
2018,973893.926177
2018,621267.220461
2018,805591.988813
2018,-179011.651902
2018,258716.909578
2018,740904.882616
2018,283148.162607
2018,1389016.576800
2018,305128.015955
2018,-1180333.123200
2018,134641.096941
2018,-590733.702251
2018,890224.800192
2018,-789481.904904
2018,1672951.492800
2018,647092.412106
2018,486329.078274
2018,264835.257176
2018,279505.431771
2018,259350.258665
2018,590500.630751
2018,2170023.149426
2018,-247464.360758
2018,1466880.937200
2018,157730.466386
2018,424252.890905
2018,-519355.976443
2018,224186.648400
2018,1089705.579957
2018,706459.633116
2018,763285.911755
2018,301261.332960
2018,290891.231342
2018,1409509.689514
2018,763462.810979
2018,332310.256482
2018,400234.493647
2018,417203.348953
2019,-249900.033600
2019,479188.478980
2019,196754.317698
2019,128679.095151
2019,-401607.981957
2019,1230370.433197
2019,617275.884726
2019,471382.878572
2019,293068.698574
2019,467060.743296
2019,303446.892564
2019,227392.744865
2019,524178.078776
2019,383144.488231
2019,-761220.185336
2019,-1360797.278400
2019,213395.570382
2019,315554.465664
2019,382045.886031
2019,253214.569971
2019,664909.704776
2019,737726.401290
2019,482863.550400
2019,254507.383915
2019,1001113.205143
2019,1023852.368309
2019,325433.025876
2019,211114.024865
2019,153040.587605
2019,469952.760282
2019,185038.951796
2019,1083555.048505
2019,401467.182151
2019,393698.406150
2019,362901.613521
2019,426098.804630
2019,753506.575095
2019,695962.009833
2019,563648.208565
2019,374123.625998
2019,702346.982400
2019,597372.172189
2019,612797.742144
2019,359916.399695
2019,311740.874603
2019,363880.426737
2019,450108.154964
2019,251661.528158
2019,-206849.751524
2019,285955.557120
2019,399660.680753
2019,1843660.828800
2019,460229.321475
