date,n,complete,kappa_median_m,kappa_q25_m,kappa_q75_m
2018-11-11,96,1,5.647872,5.643236,5.651694
2018-11-12,96,1,5.648227,5.644565,5.651790
2018-11-13,96,1,5.648156,5.644569,5.651259
2018-11-14,96,1,5.646532,5.643975,5.650772
2018-11-15,96,1,5.647895,5.644746,5.649739
2018-11-16,96,1,5.647864,5.643990,5.651605
2018-11-17,96,1,5.647972,5.644618,5.650698
2018-11-18,96,1,5.646449,5.644934,5.651212
2018-11-19,96,1,5.646367,5.642967,5.650392
2018-11-20,96,1,5.647069,5.642666,5.649851
2018-11-21,96,1,5.647818,5.644591,5.651070
2018-11-22,96,1,5.649083,5.643231,5.651993
2018-11-23,96,1,5.648137,5.644770,5.650922
2018-11-24,96,1,5.646945,5.643278,5.650299
2018-11-25,96,1,5.647643,5.645053,5.651245
2018-11-26,96,1,5.647683,5.645421,5.650872
2018-11-27,96,1,5.648884,5.644693,5.653847
2018-11-28,96,1,5.646674,5.642420,5.652397
2018-11-29,96,1,5.649126,5.644230,5.650609
2018-11-30,96,1,5.647486,5.644377,5.650542
2018-12-01,96,1,5.646840,5.643090,5.653265
2018-12-02,96,1,5.643236,5.634883,5.652739
2018-12-03,96,1,5.647431,5.638006,5.655482
2018-12-04,96,1,5.648267,5.643567,5.651789
2018-12-05,96,1,5.648523,5.641128,5.653327
2018-12-06,96,1,5.646959,5.642972,5.651947
2018-12-07,96,1,5.643404,5.636894,5.652483
2018-12-08,96,1,5.644652,5.629830,5.659139
2018-12-09,96,1,5.636785,5.628951,5.652516
2018-12-10,96,1,5.647211,5.644279,5.650046
2018-12-11,96,1,5.647397,5.641727,5.654493
2018-12-12,96,1,5.648298,5.643212,5.653858
2018-12-13,96,1,5.648274,5.642793,5.656200
2018-12-14,96,1,5.646686,5.638305,5.655965
2018-12-15,96,1,5.647540,5.643342,5.654621
2018-12-16,96,1,5.646455,5.639103,5.656336
2018-12-17,96,1,5.650002,5.645140,5.660040
2018-12-18,96,1,5.644988,5.639506,5.653860
2018-12-19,96,1,5.647603,5.644531,5.650266
2018-12-20,96,1,5.646651,5.640612,5.652561
2018-12-21,96,1,5.648584,5.644838,5.651195
2018-12-22,96,1,5.646651,5.633789,5.656664
2018-12-23,96,1,5.649781,5.641844,5.656911
2018-12-24,96,1,5.648248,5.637343,5.659063
2018-12-25,96,1,5.645111,5.634378,5.657559
2018-12-26,96,1,5.649267,5.636649,5.661728
2018-12-27,96,1,5.645053,5.641172,5.651884
2018-12-28,96,1,5.647238,5.642838,5.651245
2018-12-29,96,1,5.647675,5.643840,5.652528
2018-12-30,96,1,5.647894,5.645073,5.654726
2018-12-31,96,1,5.643972,5.640919,5.651181
2019-01-01,96,1,5.648382,5.644450,5.655749
2019-01-02,96,1,5.646769,5.639506,5.652227
2019-01-03,96,1,5.646905,5.643884,5.649667
2019-01-04,96,1,5.647179,5.644132,5.651591
2019-01-05,96,1,5.647245,5.644705,5.650455
2019-01-06,96,1,5.646070,5.643116,5.649841
2019-01-07,96,1,5.647803,5.642532,5.651126
2019-01-08,96,1,5.648523,5.643379,5.650861
2019-01-09,96,1,5.646309,5.643562,5.649755
2019-01-10,96,1,5.647976,5.644741,5.650442
2019-01-11,96,1,5.646867,5.643616,5.651665
2019-01-12,96,1,5.649406,5.641633,5.654586
2019-01-13,96,1,5.649837,5.640433,5.655787
2019-01-14,96,1,5.649124,5.641693,5.655822
2019-01-15,96,1,5.646643,5.642979,5.651067
2019-01-16,96,1,5.648392,5.644132,5.654214
2019-01-17,96,1,5.646558,5.639054,5.652982
2019-01-18,96,1,5.646913,5.645007,5.653238
2019-01-19,96,1,5.647123,5.638188,5.655201
2019-01-20,96,1,5.646564,5.637758,5.655432
2019-01-21,96,1,5.647382,5.640059,5.655627
2019-01-22,96,1,5.647784,5.639556,5.655871
2019-01-23,96,1,5.650295,5.643463,5.654493
2019-01-24,96,1,5.647735,5.640869,5.652835
2019-01-25,94,0,5.648972,5.643072,5.654621
2019-01-26,96,1,5.649479,5.644266,5.651957
2019-01-27,96,1,5.648675,5.639723,5.655465
2019-01-28,96,1,5.647388,5.640412,5.654649
2019-01-29,96,1,5.648267,5.643167,5.651380
2019-01-30,96,1,5.646239,5.644473,5.650825
2019-01-31,96,1,5.648315,5.642524,5.653216
2019-02-01,96,1,5.645240,5.643431,5.649454
2019-02-02,96,1,5.648347,5.645333,5.651928
2019-02-03,96,1,5.647508,5.645537,5.649610
2019-02-04,96,1,5.646877,5.642897,5.649921
2019-02-05,96,1,5.646946,5.642842,5.650846
2019-02-06,96,1,5.647257,5.644147,5.651929
2019-02-07,96,1,5.647322,5.641274,5.652747
2019-02-08,96,1,5.647109,5.643542,5.650937
2019-02-09,96,1,5.648430,5.643120,5.653614
2019-02-10,96,1,5.646519,5.640018,5.653538
2019-02-11,96,1,5.649003,5.642748,5.654015
2019-02-12,96,1,5.647091,5.643535,5.650674
2019-02-13,96,1,5.649027,5.642903,5.653552
2019-02-14,96,1,5.650618,5.645446,5.651273
2019-02-15,96,1,5.647764,5.642303,5.653727
2019-02-16,96,1,5.647789,5.642875,5.652626
2019-02-17,96,1,5.647396,5.639363,5.655531
2019-02-18,96,1,5.646515,5.643367,5.649622
2019-02-19,96,1,5.648146,5.643630,5.652155
2019-02-20,96,1,5.646935,5.643868,5.651212
2019-02-21,96,1,5.647878,5.644732,5.651854
2019-02-22,96,1,5.646689,5.643090,5.650364
2019-02-23,96,1,5.646165,5.643786,5.650725
2019-02-24,96,1,5.648334,5.640058,5.653323
2019-02-25,96,1,5.648296,5.641108,5.651836
2019-02-26,96,1,5.649532,5.643090,5.653502
2019-02-27,96,1,5.649764,5.644076,5.652723
2019-02-28,96,1,5.648167,5.642297,5.653170
2019-03-01,96,1,5.648498,5.643298,5.652018
2019-03-02,96,1,5.647600,5.645126,5.650584
2019-03-03,96,1,5.647556,5.643878,5.650748
2019-03-04,96,1,5.647336,5.644505,5.651217
2019-03-05,96,1,5.647800,5.643612,5.651807
2019-03-06,96,1,5.647425,5.644288,5.650940
2019-03-07,96,1,5.648382,5.645283,5.650725
2019-03-08,96,1,5.646689,5.645342,5.649793
2019-03-09,96,1,5.647240,5.644397,5.650364
2019-03-10,96,1,5.647071,5.644663,5.649126
2019-03-11,96,1,5.648122,5.645298,5.651122
