z0_ft,n,mean_squared_error_log,alpha,beta,gamma_m,free_fraction
4.44000,264971,0.0034420529,0.951582,0.163797,23.596300,0.266954
4.44500,264968,0.0031309399,0.956307,0.178270,23.758708,0.267021
4.45000,264928,0.0030644025,0.957416,0.181681,23.798081,0.271855
4.45500,264928,0.0031263610,0.956456,0.177650,23.763950,0.271855
4.46000,264890,0.0030636416,0.957487,0.180756,23.800571,0.276934
4.46500,264890,0.0031238686,0.956549,0.176812,23.767198,0.276934
4.47000,264853,0.0030700495,0.957477,0.179531,23.800187,0.282096
4.47500,264853,0.0031301119,0.956541,0.175615,23.766929,0.282096
4.48000,264815,0.0030717430,0.957530,0.178523,23.802076,0.287333
4.48500,264815,0.0031291858,0.956634,0.174754,23.770203,0.287333
4.49000,264785,0.0034655028,0.951695,0.158701,23.599567,0.292143
4.49500,264782,0.0031477543,0.956415,0.172793,23.762390,0.292490
4.50000,264745,0.0034545428,0.951862,0.158165,23.605441,0.297305
4.50500,264742,0.0031479015,0.956496,0.171903,23.765357,0.297297
4.51000,264711,0.0037572622,0.947362,0.142897,23.450429,0.302575
4.51500,264705,0.0031607703,0.956381,0.170326,23.761364,0.302559
4.52000,264667,0.0036459072,0.949012,0.147129,23.507603,0.307382
4.52500,264662,0.0031564842,0.956577,0.169816,23.768420,0.307592
4.53000,264630,0.0031223819,0.957178,0.171298,23.789898,0.312977
4.53500,264630,0.0031840042,0.956214,0.167399,23.755690,0.312977
